"ARTICLE_DOI","AUTHOR_PRODUCTIVITY"
"10.1038/nmicrobiol.2015.3",58
"10.1093/sysbio/syv019",13
"10.1371/journal.pcbi.1004473",32
"10.1038/nature18959",55
"10.1016/j.cels.2016.05.007",13
"10.1534/genetics.115.183814",18
"10.1093/bioinformatics/btw387",62
"10.3389/fncom.2016.00051",30
"10.1371/journal.pone.0130855",26
"10.1534/genetics.115.185553",21
"10.1186/s12863-016-0458-2",96
"10.1038/nn.4353",25
"10.1111/mpp.12316",102
"10.7554/elife.18657",20
"10.3389/fmicb.2015.00703",11
"10.1073/pnas.1500758112",35
"10.1371/journal.pone.0167984",16
"10.1534/g3.116.034744",7
"10.1093/database/baw149",53
"10.1016/j.gde.2016.08.007",130
"10.1242/bio.020636",6
"10.1002/ece3.1350",4
"10.1371/journal.pntd.0004838",48
"10.1111/bij.12741",26
"10.1128/mbio.02234-15",75
"10.1534/genetics.116.188821",81
"10.15252/embj.201593071",36
"10.1534/genetics.115.179093",12
"10.1103/physreve.94.012804",24
"10.1073/pnas.1600398113",14
"10.1111/1462-2920.12847",26
"10.3389/fmicb.2016.00648",41
"10.1093/nar/gkw294",62
"10.1016/j.neuron.2016.11.020",60
"10.7554/elife.02557",20
"10.1093/bioinformatics/btw076",27
"10.1016/j.ebiom.2016.11.007",171
"10.1038/srep12559",21
"10.1186/s12868-016-0287-2",17
"10.1371/journal.pone.0134446",15
"10.1371/journal.pntd.0004458",54
"10.1371/journal.pone.0165799",98
"10.1093/bioinformatics/btw355",44
"10.1016/j.ydbio.2016.07.023",12
"10.2116/analsci.32.1159",63
"10.1534/genetics.115.178335",32
"10.1093/bioinformatics/btw112",12
"10.1534/genetics.114.173807",12
"10.1038/ncomms13522",11
"10.1002/ecs2.1391",21
"10.1016/j.celrep.2016.01.043",22
"10.1038/srep31519",64
"10.1111/1365-2435.12666",54
"10.1371/journal.pone.0146083",46
"10.1186/s13062-016-0156-z",68
"10.1073/pnas.1611173113",32
"10.1186/s12859-016-1357-2",13
"10.7554/elife.19941",12
"10.1007/s00251-016-0920-3",6
"10.1111/jeb.12819",13
"10.1016/j.conb.2016.01.011",48
"10.1038/ncomms10408",20
"10.1534/g3.116.028316",24
"10.15252/msb.20156526",12
"10.1101/gr.184341.114",14
"10.3389/fgene.2016.00023",66
"10.1016/j.scitotenv.2015.10.042",26
"10.1038/srep38956",21
"10.1007/s10344-015-0937-1",32
"10.1534/g3.116.029884",56
"10.1099/mgen.0.000064",42
"10.1371/journal.pcbi.1004383",26
"10.1371/journal.pcbi.1005059",16
"10.1016/j.jtbi.2015.06.039",16
"10.1007/s00125-016-3907-6",17
"10.1371/journal.pone.0156841",34
"10.7554/elife.14810",8
"10.1073/pnas.1611967113",10
"10.1042/bcj20160537",29
"10.1038/srep19233",104
"10.1111/1365-2656.12444",22
"10.1261/rna.057208.116",16
"10.1038/ng.3590",96
"10.1371/journal.pbio.1002000",40
"10.1534/g3.116.030536",6
"10.1371/journal.pone.0166832",20
"10.1073/pnas.1522931113",22
"10.1038/srep37706",48
"10.1038/srep31582",38
"10.1371/journal.pgen.1006108",13
"10.1016/j.bpj.2016.02.041",16
"10.7554/elife.12727",23
"10.1093/molbev/msw128",16
"10.1111/mec.13810",18
"10.1080/07352689.2016.1265363",32
"10.1038/ncomms12817",54
"10.1534/genetics.116.189274",4
"10.1091/mbc.e15-07-0525",15
"10.1038/ncomms13302",44
"10.1371/journal.pcbi.1005180",13
"10.1038/ncomms13270",24
"10.1103/physreve.94.062413",8
"10.1016/j.neubiorev.2016.10.002",28
"10.1016/j.gene.2016.01.052",13
"10.1101/gr.199323.115",72
"10.1093/bioinformatics/btw268",30
"10.1073/pnas.1600338113",21
"10.1371/journal.pntd.0004398",110
"10.1111/evo.13046",24
"10.1093/molbev/msw013",62
"10.1016/j.molcel.2016.07.023",10
"10.7554/elife.17977",18
"10.1093/molbev/msw192",3
"10.1523/jneurosci.2511-15.2016",34
