PREPRINT_DOI,CITATION_INTERVAL,CITATIONS,LOG_CITATIONS
10.1101/000307,24,0,0
10.1101/000315,-2,0,0
10.1101/000315,-1,0,0
10.1101/000315,0,0,0
10.1101/000315,1,0,0
10.1101/000315,2,0,0
10.1101/000315,3,0,0
10.1101/000315,4,0,0
10.1101/000315,5,0,0
10.1101/000315,6,0,0
10.1101/000315,7,0,0
10.1101/000315,8,0,0
10.1101/000315,9,0,0
10.1101/000315,10,0,0
10.1101/000315,11,0,0
10.1101/000315,12,0,0
10.1101/000315,13,0,0
10.1101/000315,14,0,0
10.1101/000315,15,0,0
10.1101/000315,16,0,0
10.1101/000315,17,0,0
10.1101/000315,18,0,0
10.1101/000315,19,0,0
10.1101/000315,20,0,0
10.1101/000315,21,0,0
10.1101/000315,22,0,0
10.1101/000315,23,0,0
10.1101/000315,24,0,0
10.1101/000422,-2,0,0
10.1101/000422,-1,0,0
10.1101/000422,0,0,0
10.1101/000422,1,0,0
10.1101/000422,2,0,0
10.1101/000422,3,0,0
10.1101/000422,4,0,0
10.1101/000422,5,0,0
10.1101/000422,6,0,0
10.1101/000422,7,0,0
10.1101/000422,8,0,0
10.1101/000422,9,0,0
10.1101/000422,10,0,0
10.1101/000422,11,0,0
10.1101/000422,12,0,0
10.1101/000422,13,0,0
10.1101/000422,14,0,0
10.1101/000422,15,0,0
10.1101/000422,16,0,0
10.1101/000422,17,0,0
10.1101/000422,18,0,0
10.1101/000422,19,0,0
10.1101/000422,20,0,0
10.1101/000422,21,0,0
10.1101/000422,22,0,0
10.1101/000422,23,0,0
10.1101/000422,24,0,0
10.1101/000430,-3,0,0
10.1101/000430,-2,0,0
10.1101/000430,-1,0,0
10.1101/000430,0,0,0
10.1101/000430,1,0,0
10.1101/000430,2,0,0
10.1101/000430,3,0,0
10.1101/000430,4,0,0
10.1101/000430,5,0,0
10.1101/000430,6,0,0
10.1101/000430,7,0,0
10.1101/000430,8,0,0
10.1101/000430,9,0,0
10.1101/000430,10,0,0
10.1101/000430,11,0,0
10.1101/000430,12,0,0
10.1101/000430,13,0,0
10.1101/000430,14,0,0
10.1101/000430,15,0,0
10.1101/000430,16,0,0
10.1101/000430,17,0,0
10.1101/000430,18,0,0
10.1101/000430,19,0,0
10.1101/000430,20,0,0
10.1101/000430,21,0,0
10.1101/000430,22,0,0
10.1101/000430,23,0,0
10.1101/000430,24,0,0
10.1101/000448,-6,0,0
10.1101/000448,-5,0,0
10.1101/000448,-4,0,0
10.1101/000448,-3,1,0.6931471805599453
10.1101/000448,-2,0,0
10.1101/000448,-1,0,0
10.1101/000448,0,0,0
10.1101/000448,1,0,0
10.1101/000448,2,0,0
10.1101/000448,3,0,0
10.1101/000448,4,0,0
10.1101/000448,5,0,0
10.1101/000448,6,0,0
10.1101/000448,7,0,0
10.1101/000448,8,0,0
10.1101/000448,9,0,0
10.1101/000448,10,0,0
10.1101/000448,11,0,0
10.1101/000448,12,0,0
10.1101/000448,13,0,0
10.1101/000448,14,0,0
10.1101/000448,15,0,0
10.1101/000448,16,0,0
10.1101/000448,17,0,0
10.1101/000448,18,0,0
10.1101/000448,19,0,0
10.1101/000448,20,0,0
10.1101/000448,21,0,0
10.1101/000448,22,0,0
10.1101/000448,23,0,0
10.1101/000448,24,0,0
10.1101/000497,-12,0,0
10.1101/000497,-11,0,0
10.1101/000497,-10,0,0
10.1101/000497,-9,0,0
10.1101/000497,-8,0,0
10.1101/000497,-7,0,0
10.1101/000497,-6,0,0
10.1101/000497,-5,0,0
10.1101/000497,-4,0,0
10.1101/000497,-3,0,0
10.1101/000497,-2,0,0
10.1101/000497,-1,0,0
10.1101/000497,0,0,0
10.1101/000497,1,0,0
10.1101/000497,2,0,0
10.1101/000497,3,0,0
10.1101/000497,4,0,0
10.1101/000497,5,0,0
10.1101/000497,6,0,0
10.1101/000497,7,0,0
10.1101/000497,8,0,0
10.1101/000497,9,0,0
10.1101/000497,10,0,0
10.1101/000497,11,0,0
10.1101/000497,12,0,0
10.1101/000497,13,0,0
10.1101/000497,14,0,0
10.1101/000521,-5,0,0
10.1101/000521,-4,0,0
10.1101/000521,-3,0,0
10.1101/000521,-2,0,0
10.1101/000521,-1,0,0
10.1101/000521,0,0,0
10.1101/000521,1,0,0
10.1101/000521,2,0,0
10.1101/000521,3,0,0
10.1101/000521,4,0,0
10.1101/000521,5,0,0
10.1101/000521,6,0,0
10.1101/000521,7,0,0
10.1101/000521,8,0,0
10.1101/000521,9,0,0
10.1101/000521,10,0,0
10.1101/000521,11,0,0
10.1101/000521,12,0,0
10.1101/000521,13,0,0
10.1101/000521,14,0,0
10.1101/000521,15,0,0
10.1101/000521,16,0,0
10.1101/000521,17,0,0
10.1101/000521,18,0,0
10.1101/000521,19,0,0
10.1101/000521,20,0,0
10.1101/000521,21,0,0
10.1101/000521,22,0,0
10.1101/000521,23,0,0
10.1101/000521,24,0,0
10.1101/000562,-10,0,0
10.1101/000562,-9,0,0
10.1101/000562,-8,0,0
10.1101/000562,-7,0,0
10.1101/000562,-6,0,0
10.1101/000562,-5,0,0
10.1101/000562,-4,0,0
10.1101/000562,-3,0,0
10.1101/000562,-2,0,0
10.1101/000562,-1,0,0
10.1101/000562,0,0,0
10.1101/000562,1,0,0
10.1101/000562,2,0,0
10.1101/000562,3,0,0
10.1101/000562,4,0,0
10.1101/000562,5,0,0
10.1101/000562,6,0,0
10.1101/000562,7,0,0
10.1101/000562,8,0,0
10.1101/000562,9,0,0
10.1101/000562,10,0,0
10.1101/000562,11,0,0
10.1101/000562,12,0,0
10.1101/000562,13,0,0
10.1101/000562,14,0,0
10.1101/000562,15,0,0
10.1101/000562,16,0,0
10.1101/000562,17,0,0
10.1101/000562,18,0,0
10.1101/000562,19,0,0
10.1101/000562,20,0,0
10.1101/000562,21,0,0
10.1101/000562,22,0,0
10.1101/000562,23,0,0
10.1101/000562,24,0,0
10.1101/000653,-7,0,0
10.1101/000653,-6,0,0
10.1101/000653,-5,0,0
10.1101/000653,-4,0,0
10.1101/000653,-3,1,0.6931471805599453
10.1101/000653,-2,0,0
10.1101/000653,-1,0,0
10.1101/000653,0,0,0
10.1101/000653,1,0,0
10.1101/000653,2,0,0
10.1101/000653,3,0,0
10.1101/000653,4,0,0
10.1101/000653,5,0,0
10.1101/000653,6,0,0
10.1101/000653,7,0,0
10.1101/000653,8,0,0
10.1101/000653,9,0,0
10.1101/000653,10,0,0
10.1101/000653,11,0,0
10.1101/000653,12,0,0
10.1101/000653,13,0,0
10.1101/000653,14,0,0
10.1101/000653,15,0,0
10.1101/000653,16,0,0
10.1101/000653,17,0,0
10.1101/000653,18,0,0
10.1101/000653,19,0,0
10.1101/000653,20,0,0
10.1101/000653,21,0,0
10.1101/000653,22,0,0
10.1101/000653,23,0,0
10.1101/000653,24,0,0
10.1101/000661,-12,0,0
10.1101/000661,-11,0,0
10.1101/000661,-10,0,0
10.1101/000661,-9,0,0
10.1101/000661,-8,0,0
10.1101/000661,-7,0,0
10.1101/000661,-6,0,0
10.1101/000661,-5,0,0
10.1101/000661,-4,0,0
10.1101/000661,-3,0,0
10.1101/000661,-2,0,0
10.1101/000661,-1,0,0
10.1101/000661,0,0,0
10.1101/000661,1,0,0
10.1101/000661,2,0,0
10.1101/000661,3,0,0
10.1101/000661,4,0,0
10.1101/000661,5,0,0
10.1101/000661,6,0,0
10.1101/000661,7,0,0
10.1101/000661,8,0,0
10.1101/000661,9,0,0
10.1101/000661,10,0,0
10.1101/000661,11,0,0
10.1101/000661,12,0,0
10.1101/000661,13,0,0
10.1101/000661,14,0,0
10.1101/000661,15,0,0
10.1101/000661,16,0,0
10.1101/000661,17,0,0
10.1101/000661,18,0,0
10.1101/000661,19,0,0
10.1101/000661,20,0,0
10.1101/000661,21,0,0
10.1101/000661,22,0,0
10.1101/000661,23,0,0
10.1101/000661,24,0,0
10.1101/000752,-5,0,0
10.1101/000752,-4,0,0
10.1101/000752,-3,0,0
10.1101/000752,-2,0,0
10.1101/000752,-1,0,0
10.1101/000752,0,0,0
10.1101/000752,1,0,0
10.1101/000752,2,0,0
10.1101/000752,3,0,0
10.1101/000752,4,0,0
10.1101/000752,5,0,0
10.1101/000752,6,0,0
10.1101/000752,7,0,0
10.1101/000752,8,0,0
10.1101/000752,9,0,0
10.1101/000752,10,0,0
10.1101/000752,11,0,0
10.1101/000752,12,0,0
10.1101/000752,13,0,0
10.1101/000752,14,0,0
10.1101/000752,15,0,0
10.1101/000752,16,0,0
10.1101/000752,17,0,0
10.1101/000752,18,0,0
10.1101/000752,19,0,0
10.1101/000752,20,0,0
10.1101/000752,21,0,0
10.1101/000752,22,0,0
10.1101/000752,23,0,0
10.1101/000752,24,0,0
10.1101/000760,-6,0,0
10.1101/000760,-5,0,0
10.1101/000760,-4,0,0
10.1101/000760,-3,0,0
10.1101/000760,-2,0,0
10.1101/000760,-1,0,0
10.1101/000760,0,0,0
10.1101/000760,1,0,0
10.1101/000760,2,0,0
10.1101/000760,3,0,0
10.1101/000760,4,0,0
10.1101/000760,5,0,0
10.1101/000760,6,0,0
10.1101/000760,7,0,0
10.1101/000760,8,0,0
10.1101/000760,9,0,0
10.1101/000760,10,0,0
10.1101/000760,11,0,0
10.1101/000760,12,0,0
10.1101/000760,13,0,0
10.1101/000760,14,0,0
10.1101/000760,15,0,0
10.1101/000760,16,0,0
10.1101/000760,17,0,0
10.1101/000760,18,0,0
10.1101/000760,19,0,0
10.1101/000760,20,0,0
10.1101/000760,21,0,0
10.1101/000760,22,0,0
10.1101/000760,23,0,0
10.1101/000760,24,0,0
10.1101/000778,-11,0,0
10.1101/000778,-10,0,0
10.1101/000778,-9,0,0
10.1101/000778,-8,0,0
10.1101/000778,-7,0,0
10.1101/000778,-6,0,0
10.1101/000778,-5,0,0
10.1101/000778,-4,0,0
10.1101/000778,-3,0,0
10.1101/000778,-2,0,0
10.1101/000778,-1,0,0
10.1101/000778,0,0,0
10.1101/000778,1,0,0
10.1101/000778,2,0,0
10.1101/000778,3,0,0
10.1101/000778,4,0,0
10.1101/000778,5,0,0
10.1101/000778,6,0,0
10.1101/000778,7,0,0
10.1101/000778,8,0,0
10.1101/000778,9,0,0
10.1101/000778,10,0,0
10.1101/000778,11,0,0
10.1101/000778,12,0,0
10.1101/000778,13,0,0
10.1101/000778,14,0,0
10.1101/000778,15,0,0
10.1101/000778,16,0,0
10.1101/000778,17,0,0
10.1101/000778,18,0,0
10.1101/000778,19,0,0
10.1101/000778,20,0,0
10.1101/000778,21,0,0
10.1101/000778,22,0,0
10.1101/000778,23,0,0
10.1101/000778,24,0,0
10.1101/000836,-12,0,0
10.1101/000836,-11,0,0
10.1101/000836,-10,0,0
10.1101/000836,-9,0,0
10.1101/000836,-8,0,0
10.1101/000836,-7,0,0
10.1101/000836,-6,0,0
10.1101/000836,-5,0,0
10.1101/000836,-4,0,0
10.1101/000836,-3,0,0
10.1101/000836,-2,0,0
10.1101/000836,-1,0,0
10.1101/000836,0,0,0
10.1101/000836,1,0,0
10.1101/000836,2,0,0
10.1101/000836,3,0,0
10.1101/000836,4,0,0
10.1101/000836,5,0,0
10.1101/000836,6,0,0
10.1101/000836,7,0,0
10.1101/000836,8,0,0
10.1101/000836,9,0,0
10.1101/000836,10,0,0
10.1101/000836,11,0,0
10.1101/000836,12,0,0
10.1101/000836,13,0,0
10.1101/000836,14,0,0
10.1101/000836,15,0,0
10.1101/000836,16,0,0
10.1101/000836,17,0,0
10.1101/000836,18,0,0
10.1101/000836,19,0,0
10.1101/000836,20,0,0
10.1101/000836,21,0,0
10.1101/000836,22,0,0
10.1101/000836,23,0,0
10.1101/000836,24,0,0
10.1101/000885,-4,0,0
10.1101/000885,-3,0,0
10.1101/000885,-2,0,0
10.1101/000885,-1,0,0
10.1101/000885,0,1,0.6931471805599453
10.1101/000885,1,0,0
10.1101/000885,2,0,0
10.1101/000885,3,0,0
10.1101/000885,4,0,0
10.1101/000885,5,0,0
10.1101/000885,6,0,0
10.1101/000885,7,0,0
10.1101/000885,8,0,0
10.1101/000885,9,0,0
10.1101/000885,10,0,0
10.1101/000885,11,0,0
10.1101/000885,12,0,0
10.1101/000885,13,0,0
10.1101/000885,14,0,0
10.1101/000885,15,0,0
10.1101/000885,16,0,0
10.1101/000885,17,0,0
10.1101/000885,18,0,0
10.1101/000885,19,0,0
10.1101/000885,20,0,0
10.1101/000885,21,0,0
10.1101/000885,22,0,0
10.1101/000885,23,0,0
10.1101/000885,24,0,0
10.1101/000893,-12,0,0
10.1101/000893,-11,0,0
10.1101/000893,-10,0,0
10.1101/000893,-9,0,0
10.1101/000893,-8,0,0
10.1101/000893,-7,0,0
10.1101/000893,-6,0,0
10.1101/000893,-5,0,0
10.1101/000893,-4,0,0
10.1101/000893,-3,0,0
10.1101/000893,-2,0,0
10.1101/000893,-1,0,0
10.1101/000893,0,0,0
10.1101/000893,1,0,0
10.1101/000893,2,0,0
10.1101/000893,3,0,0
10.1101/000893,4,0,0
10.1101/000893,5,0,0
10.1101/000893,6,0,0
10.1101/000893,7,0,0
10.1101/000893,8,0,0
10.1101/000893,9,0,0
10.1101/000893,10,0,0
10.1101/000893,11,0,0
10.1101/000893,12,0,0
10.1101/000893,13,0,0
10.1101/000893,14,0,0
10.1101/000893,15,0,0
10.1101/000893,16,0,0
10.1101/000893,17,0,0
10.1101/000893,18,0,0
10.1101/000893,19,0,0
10.1101/000893,20,0,0
10.1101/000893,21,0,0
10.1101/000893,22,0,0
10.1101/000893,23,0,0
10.1101/000893,24,0,0
10.1101/000919,-11,0,0
10.1101/000919,-10,0,0
10.1101/000919,-9,0,0
10.1101/000919,-8,0,0
10.1101/000919,-7,0,0
10.1101/000919,-6,0,0
10.1101/000919,-5,0,0
10.1101/000919,-4,0,0
10.1101/000919,-3,0,0
10.1101/000919,-2,0,0
10.1101/000919,-1,0,0
10.1101/000919,0,0,0
10.1101/000919,1,0,0
10.1101/000919,2,0,0
10.1101/000919,3,0,0
10.1101/000919,4,0,0
10.1101/000919,5,0,0
10.1101/000919,6,0,0
10.1101/000919,7,0,0
10.1101/000919,8,0,0
10.1101/000919,9,0,0
10.1101/000919,10,0,0
10.1101/000919,11,0,0
10.1101/000919,12,0,0
10.1101/000919,13,0,0
10.1101/000919,14,0,0
10.1101/000919,15,0,0
10.1101/000919,16,0,0
10.1101/000919,17,0,0
10.1101/000919,18,0,0
10.1101/000919,19,0,0
10.1101/000919,20,0,0
10.1101/000919,21,0,0
10.1101/000919,22,0,0
10.1101/000919,23,0,0
10.1101/000919,24,0,0
10.1101/000927,-6,0,0
10.1101/000927,-5,0,0
10.1101/000927,-4,0,0
10.1101/000927,-3,0,0
10.1101/000927,-2,0,0
10.1101/000927,-1,0,0
10.1101/000927,0,0,0
10.1101/000927,1,0,0
10.1101/000927,2,0,0
10.1101/000927,3,0,0
10.1101/000927,4,0,0
10.1101/000927,5,0,0
10.1101/000927,6,0,0
10.1101/000927,7,0,0
10.1101/000927,8,0,0
10.1101/000927,9,0,0
10.1101/000927,10,0,0
10.1101/000927,11,0,0
10.1101/000927,12,0,0
10.1101/000927,13,0,0
10.1101/000927,14,0,0
10.1101/000927,15,0,0
10.1101/000927,16,0,0
10.1101/000927,17,0,0
10.1101/000927,18,0,0
10.1101/000927,19,0,0
10.1101/000927,20,0,0
10.1101/000927,21,0,0
10.1101/000927,22,0,0
10.1101/000927,23,0,0
10.1101/000927,24,0,0
10.1101/000943,-4,0,0
10.1101/000943,-3,0,0
10.1101/000943,-2,0,0
10.1101/000943,-1,0,0
10.1101/000943,0,0,0
10.1101/000943,1,0,0
10.1101/000943,2,0,0
10.1101/000943,3,0,0
10.1101/000943,4,0,0
10.1101/000943,5,0,0
10.1101/000943,6,0,0
10.1101/000943,7,0,0
10.1101/000943,8,0,0
10.1101/000943,9,0,0
10.1101/000943,10,0,0
10.1101/000943,11,0,0
10.1101/000943,12,0,0
10.1101/000943,13,0,0
10.1101/000943,14,0,0
10.1101/000943,15,0,0
10.1101/000943,16,0,0
10.1101/000943,17,0,0
10.1101/000943,18,0,0
10.1101/000943,19,0,0
10.1101/000943,20,0,0
10.1101/000943,21,0,0
10.1101/000943,22,0,0
10.1101/000943,23,0,0
10.1101/000943,24,0,0
10.1101/000950,-2,0,0
10.1101/000950,-1,0,0
10.1101/000950,0,0,0
10.1101/000950,1,0,0
10.1101/000950,2,0,0
10.1101/000950,3,0,0
10.1101/000950,4,0,0
10.1101/000950,5,0,0
10.1101/000950,6,0,0
10.1101/000950,7,0,0
10.1101/000950,8,0,0
10.1101/000950,9,0,0
10.1101/000950,10,0,0
10.1101/000950,11,0,0
10.1101/000950,12,0,0
10.1101/000950,13,0,0
10.1101/000950,14,0,0
10.1101/000950,15,0,0
10.1101/000950,16,0,0
10.1101/000950,17,0,0
10.1101/000950,18,0,0
10.1101/000950,19,0,0
10.1101/000950,20,0,0
10.1101/000950,21,0,0
10.1101/000950,22,0,0
10.1101/000950,23,0,0
10.1101/000950,24,0,0
10.1101/000968,-1,0,0
10.1101/000968,0,0,0
10.1101/000968,1,0,0
10.1101/000968,2,0,0
10.1101/000968,3,0,0
10.1101/000968,4,0,0
10.1101/000968,5,0,0
10.1101/000968,6,0,0
10.1101/000968,7,0,0
10.1101/000968,8,0,0
10.1101/000968,9,0,0
10.1101/000968,10,0,0
10.1101/000968,11,0,0
10.1101/000968,12,0,0
10.1101/000968,13,0,0
10.1101/000968,14,0,0
10.1101/000968,15,0,0
10.1101/000968,16,0,0
10.1101/000968,17,0,0
10.1101/000968,18,0,0
10.1101/000968,19,0,0
10.1101/000968,20,0,0
10.1101/000968,21,0,0
10.1101/000968,22,0,0
10.1101/000968,23,0,0
10.1101/000968,24,0,0
10.1101/000984,-5,0,0
10.1101/000984,-4,0,0
10.1101/000984,-3,0,0
10.1101/000984,-2,0,0
10.1101/000984,-1,1,0.6931471805599453
10.1101/000984,0,0,0
10.1101/000984,1,0,0
10.1101/000984,2,0,0
10.1101/000984,3,0,0
10.1101/000984,4,0,0
10.1101/000984,5,0,0
10.1101/000984,6,0,0
10.1101/000984,7,0,0
10.1101/000984,8,0,0
10.1101/000984,9,0,0
10.1101/000984,10,0,0
10.1101/000984,11,0,0
10.1101/000984,12,0,0
10.1101/000984,13,0,0
10.1101/000984,14,0,0
10.1101/000984,15,0,0
10.1101/000984,16,0,0
10.1101/000984,17,0,0
10.1101/000984,18,0,0
10.1101/000984,19,0,0
10.1101/000984,20,0,0
10.1101/000984,21,0,0
10.1101/000984,22,0,0
10.1101/000984,23,0,0
10.1101/000984,24,0,0
10.1101/001008,-6,0,0
10.1101/001008,-5,0,0
10.1101/001008,-4,0,0
10.1101/001008,-3,0,0
10.1101/001008,-2,0,0
10.1101/001008,-1,0,0
10.1101/001008,0,0,0
10.1101/001008,1,0,0
10.1101/001008,2,0,0
10.1101/001008,3,0,0
