IF_CLASS,TYPE,PCT_HAS_ALTMETRIC,TWEETS_N,TWEETS_MEAN,TWEETS_95CI,FEEDS_N,FEEDS_MEAN,FEEDS_95CI,MSM_N,MSM_MEAN,MSM_95CI,POLICIES_N,POLICIES_MEAN,POLICIES_95CI,WIKIPEDIA_N,WIKIPEDIA_MEAN,WIKIPEDIA_95CI,MENDELEY_N,MENDELEY_MEAN,MENDELEY_95CI
High IF,Deposited,99.38306225462703,1783,3.337565882905284,0.05519724500614452,1783,0.4365909599975523,0.0291029041918026,1783,0.6733157114523091,0.04890537463211217,1783,0.009718833154233669,0.004079456489500976,1783,0.08802624925562079,0.014234476882811539,1783,4.450644591369569,0.05083410232924667
High IF,Control,96.69097027481772,1783,2.65940542383018,0.0616009969734873,1783,0.31631787657413746,0.02636619607974484,1783,0.6454267813132339,0.04871028052302228,1783,0.008391225967395971,0.0039049483503966163,1783,0.06275253151023127,0.010805612033937427,1783,3.873107271632415,0.05623647866950359
Low IF,Deposited,90.98737083811712,1742,1.811574315654027,0.05244241388848667,1742,0.11119818031274598,0.014620569759732142,1742,0.10194511559722398,0.021457379187591923,1742,0.003581127798530142,0.0023342456164854087,1742,0.029741044643461414,0.007820575060157486,1742,2.9130844289200137,0.05750904143745419
Low IF,Control,75.60275545350173,1742,1.1719800580502135,0.048169061131929446,1742,0.07841221187825612,0.011992913290856692,1742,0.057692802533838364,0.014182414250891033,1742,0.0030180800069045817,0.002271561270836838,1742,0.01617944709817726,0.005432241646750452,1742,2.1255521641257884,0.06576601189153083
Med-High IF,Deposited,98.49582172701949,1795,2.675772580838139,0.05044983606512462,1795,0.20945249997911825,0.019548151703003558,1795,0.29871138761357047,0.03310769907674503,1795,0.0015446176725569811,0.0015124313411294921,1795,0.03694700285536945,0.008839355994437937,1795,3.8288914090010895,0.04465735633279494
Med-High IF,Control,90.9192200557103,1795,1.946991044838588,0.05452077453102583,1795,0.13854623370219338,0.016033072037546788,1795,0.2368515898172976,0.029199173585571597,1795,0.0023169265088354716,0.0018513079890488497,1795,0.027972384895736075,0.008495070994862292,1795,3.168151889061083,0.059456335474504234
Med-Low IF,Deposited,96.4200477326969,1676,2.275556831865275,0.053237069416771095,1676,0.14390432789077212,0.017358597545793355,1676,0.17145049793613135,0.026097327192062543,1676,0.0037221507309304937,0.0024259463194958933,1676,0.026820008791240104,0.007287620984325102,1676,3.3898019109408852,0.05048264618409776
Med-Low IF,Control,85.68019093078759,1676,1.5055231328281014,0.051300838625259075,1676,0.08266102843464748,0.012388789287818936,1676,0.11566494190586771,0.020737316404143193,1676,0.0028950061240570505,0.0021407666005149564,1676,0.023823630926851674,0.007008005190668778,1676,2.661070881884147,0.06304393721249597
