TYPE,PCT_HAS_ALTMETRIC,TWEETS_N,TWEETS_MEAN,TWEETS_95CI,FEEDS_N,FEEDS_MEAN,FEEDS_95CI,MSM_N,MSM_MEAN,MSM_95CI,POLICIES_N,POLICIES_MEAN,POLICIES_95CI,WIKIPEDIA_N,WIKIPEDIA_MEAN,WIKIPEDIA_95CI,MENDELEY_N,MENDELEY_MEAN,MENDELEY_95CI
Deposited,96.345421193735,7087,2.54321996439643,0.029522441876799546,7087,0.2301873854180368,0.010983312008683268,7087,0.32001294645811534,0.01806011360886557,7087,0.004890272192464691,0.0014041563208367265,7087,0.04576076946101373,0.005010656044407876,7087,3.656016871387343,0.02860678533013184
Control,87.35713277832652,7087,1.8431299738710842,0.03017093003601149,7087,0.15869038990371284,0.009258612697025487,7087,0.272641130715584,0.016714913406987976,7087,0.004320059119556085,0.0013521771691725375,7087,0.03277700555816236,0.004101544455884486,7087,2.9709336872458367,0.033932466196462584
