"PREPRINT_DOI","ARTICLE_DOI","HAS_ALTMETRIC","ALT_SCORE","ALT_TWEETS","ALT_FEEDS","ALT_MSM","ALT_POLICIES","ALT_WIKIPEDIA","ALT_MENDELEY"
"10.1101/011064","10.1186/s13637-016-0044-y",TRUE,0.5,2,0,0,0,0,50
"10.1101/010934","10.1534/genetics.115.184630",TRUE,12.2,23,0,0,0,0,100
"10.1101/116822","10.1083/jcb.201612018",TRUE,15.85,26,0,0,0,0,17
"10.1101/161380","10.1111/1365-2656.12779",TRUE,22.85,36,0,0,0,0,34
"10.1101/183590","10.1073/pnas.1706014114",TRUE,2.35,6,0,0,0,0,27
"10.1101/171298","10.1002/minf.201700053",TRUE,0.25,1,0,0,0,0,7
"10.1101/172866","10.1016/j.neuroimage.2017.09.020",TRUE,20.85,42,0,0,0,0,100
"10.1101/128413","10.7717/peerj.3853",TRUE,45.498,41,3,0,0,0,18
"10.1101/161448","10.1016/j.compbiolchem.2017.07.004",TRUE,7.596,2,1,0,0,0,11
"10.1101/083386","10.1111/1462-2920.13847",TRUE,9.4,16,0,0,0,0,27
"10.1101/135475","10.1002/ece3.3449",TRUE,5,13,0,0,0,0,37
"10.1101/029587","10.1021/acssynbio.5b00237",TRUE,107.332,28,3,9,0,1,104
"10.1101/110775","10.1371/journal.pone.0183672",TRUE,1.1,2,0,0,0,0,22
"10.1101/084350","10.1186/s12985-017-0846-x",TRUE,2.5,6,0,0,0,0,10
"10.1101/076364","10.1128/mbio.00855-17",TRUE,13.3,25,0,0,0,0,24
"10.1101/046441","10.1016/j.neuroimage.2017.08.033",TRUE,11.55,23,0,0,0,0,76
"10.1101/117325","10.1534/genetics.117.1114",TRUE,16.43,20,1,0,0,0,41
"10.1101/085068","10.1016/j.neuroimage.2017.07.033",TRUE,22.25,40,0,0,0,0,37
"10.1101/064758","10.1371/journal.pgen.1006328",TRUE,255.692,123,7,19,0,0,47
"10.1101/103457","10.1038/s41598-017-02789-8",TRUE,0.25,0,0,0,0,0,39
"10.1101/092163","10.1186/s12864-017-3770-y",TRUE,12.6,27,0,0,0,0,81
"10.1101/045559","10.3389/fnbot.2017.00020",TRUE,3,8,0,0,0,0,38
"10.1101/065847","10.1176/appi.ajp.2017.16111209",TRUE,4.25,9,0,0,0,0,47
"10.1101/048561","10.1523/jneurosci.2674-16.2017",TRUE,1.25,4,0,0,0,0,22
"10.1101/005553","10.1016/j.celrep.2015.09.056",TRUE,38.38,28,2,1,0,1,261
"10.1101/005215","10.3791/53252",TRUE,4,1,0,0,0,1,74
"10.1101/051706","10.1371/journal.pone.0171689",FALSE,0,0,0,0,0,0,0
"10.1101/007161","10.1111/evo.12627",TRUE,12.3,24,0,0,0,0,72
"10.1101/060582","10.1016/j.neuron.2016.09.003",TRUE,5.35,12,0,0,0,0,203
"10.1101/050583","10.1098/rsbl.2016.0016",TRUE,54.25,1,0,7,0,0,15
"10.1101/008052","10.1371/journal.pgen.1004915",TRUE,11.45,20,0,0,0,0,320
"10.1101/117648","10.1093/gbe/evx215",TRUE,6.6,14,0,0,0,0,13
"10.1101/137141","10.1104/pp.17.01310",TRUE,15.68,17,1,0,0,0,66
"10.1101/027730","10.1038/srep28003",TRUE,103.95,127,2,0,0,0,24
