"PREPRINT_DOI","ARTICLE_DOI","AUTHOR_AGE"
"10.1101/079707","10.1093/ije/dyx206",21
"10.1101/093229","10.1016/j.tpb.2017.03.003",21
"10.1101/097220","10.1534/g3.116.038091",21
"10.1101/093344","10.7717/peerj.3265",21
"10.1101/039636","10.1016/j.cels.2016.11.013",21
"10.1101/065862","10.1089/brain.2016.0475",21
"10.1101/088849","10.1016/j.bbrc.2017.08.010",21
"10.1101/119545","10.1093/bioinformatics/btx610",21
"10.1101/054478","10.1038/srep46708",21
"10.1101/084103","10.1016/j.neuroimage.2017.03.023",21
"10.1101/070573","10.1111/2041-210x.12721",21
"10.1101/195099","10.1038/s41598-017-17301-5",21
"10.1101/098418","10.1142/s0129183117500747",21
"10.1101/056291","10.1093/molbev/msw228",21
"10.1101/097931","10.1534/g3.117.039016",21
"10.1101/071977","10.1007/s11571-017-9428-2",21
"10.1101/095216","10.1016/j.biocon.2017.07.001",21
"10.1101/058305","10.1098/rsob.160267",21
"10.1101/198051","10.1186/s12916-017-0985-3",21
"10.1101/180810","10.1074/jbc.m117.815910",21
"10.1101/179598","10.1534/g3.117.300447",21
"10.1101/114470","10.1534/g3.117.300271",21
"10.1101/047696","10.1111/ecog.02539",21
"10.1101/080325","10.1038/srep43704",21
"10.1101/152272","10.1002/2211-5463.12269",21
"10.1101/106468","10.1038/s41467-017-00443-5",21
"10.1101/105320","10.1111/oik.04171",21
"10.1101/194134","10.1016/j.nlm.2017.09.009",21
"10.1101/096289","10.1038/nature24995",21
"10.1101/146753","10.7554/elife.28935",21
"10.1101/108936","10.3847/1538-4357/aa6c57",21
"10.1101/176388","10.7554/elife.30918",21
"10.1101/088260","10.1534/genetics.116.198424",21
"10.1101/157164","10.1038/s41598-017-17813-0",21
"10.1101/089094","10.1107/s1600576717003636",21
"10.1101/098129","10.1038/ncomms14545",21
"10.1101/082677","10.1534/genetics.116.198911",21
"10.1101/113605","10.1016/j.tpb.2017.08.003",21
"10.1101/127555","10.1002/jwmg.21261",21
"10.1101/136887","10.1152/jn.00240.2017",21
"10.1101/083659","10.15252/embr.201643587",21
"10.1101/128363","10.1103/physreve.96.022412",21
"10.1101/014829","10.1371/journal.pgen.1006547",21
"10.1101/022533","10.1111/ecog.02695",21
"10.1101/025353","10.1093/sysbio/syx030",21
"10.1101/026302","10.1158/0008-5472.can-16-0425",21
"10.1101/033647","10.1086/689891",21
"10.1101/041376","10.2112/jcoastres-d-16-00148.1",21
"10.1101/046995","10.1016/j.ajhg.2016.11.008",21
"10.1101/048165","10.1093/gbe/evx121",21
"10.1101/048918","10.1177/2041669517699414",21
"10.1101/049312","10.1073/pnas.1614020114",21
"10.1101/049593","10.1086/693387",21
"10.1101/050708","10.1007/s00429-016-1241-x",21
"10.1101/051870","10.1098/rstb.2016.0057",21
"10.1101/053165","10.1038/ng.3796",21
"10.1101/055202","10.1098/rsif.2016.0618",21
"10.1101/056473","10.1038/nbt.3817",21
"10.1101/056648","10.1186/s12879-017-2370-4",21
"10.1101/057620","10.1002/hbm.23572",21
"10.1101/057927","10.1016/j.jtbi.2017.06.023",21
"10.1101/058628","10.1111/1758-2229.12534",21
"10.1101/058826","10.1002/humu.23144",21
"10.1101/059279","10.1111/eva.12475",21
"10.1101/061754","10.1037/com0000072",21
"10.1101/062455","10.1093/molbev/msw241",21
"10.1101/064352","10.1038/ng.3826",21
"10.1101/064618","10.1111/jeb.13034",21
"10.1101/067512","10.1093/gigascience/gix007",21
"10.1101/068049","10.1093/nar/gkw1040",21
